title,player_guess,score,matched_window
2025 Topps Update Chandler Simpson Rookie RC Debut Topps Logo Foil #US349 Rays,Chandler Simpson,100.0,chandler simpson
2025 Topps Update Cade Gibson Rookie RC Gold #/2025 Marlins #US131,Cade Gibson,100.0,cade gibson
2025 Topps Update Tim Tawa Rookie RC Rainbow Foil #US287 Diamondbacks,Tim Tawa,100.0,tim tawa
2025 Topps Update Shane Smith Rookie RC Diamante Foil #US278 White Sox,Shane Smith,100.0,shane smith
2025 Topps Update Nick Kurtz Rookie RC Debut US197 Athletics,Nick Kurtz,100.0,nick kurtz
2025 Topps Update Cade Gibson Rookie RC Pink Holo Foil #US131 Marlins,Cade Gibson,100.0,cade gibson
2025 Topps Update Spencer Schwellenbach Debut Rookie RC Holo Foil #US327 Braves,Spencer Schwellenbach,100.0,spencer schwellenbach
2025 Topps Update Matt Svanson Rookie RC Holo Foil #US293 Cardinals,Matt Svanson,100.0,matt svanson
2025 Topps Update Mickey Gasper Rookie RC Rainbow Foil #US291 Twins,Mickey Gasper,100.0,mickey gasper
2025 Topps Update Gage Workman Rookie RC Holo Foil #US118 Tigers,Gage Workman,100.0,gage workman
2025 Topps Update Drake Baldwin Rookie RC 35th Anniversary Base #U90-32 Braves,Drake Baldwin,100.0,drake baldwin
